trial,adjust,score,label,group,group_multi
0,0.0030394508119999247,0.022082028936944244,False,1,1.0
0,-0.013819611997896261,0.1015916322738433,False,0,6.0
0,0.0020218789864338595,0.007572238039247011,False,1,1.0
0,0.007426954305543465,0.05676636452866982,False,1,1.0
0,-0.0022973947363080366,0.018107139055104454,False,0,8.0
0,-0.0012870267057437587,0.015425086602151654,False,0,8.0
0,-0.010727037702522008,0.11226459025171438,False,0,2.0
0,0.002480502418056224,0.011832296197907505,False,1,1.0
0,-0.0015225427034608677,0.034418637282271965,False,0,8.0
0,0.0006574284813732345,0.017696769680979895,False,1,1.0
0,-0.0016842205606661526,0.024361221325501628,False,0,6.0
0,0.002134307938541715,0.005270864385017736,False,1,1.0
0,0.007952200800510859,0.05204541094341063,False,1,1.0
0,0.007867942815074747,0.03904594646362861,False,1,1.0
0,0.009298256501893004,0.07260912185443391,False,1,1.0
0,0.0026759915808536733,0.04085034924236777,False,1,1.0
0,0.002807606336742624,0.019481959730570788,False,1,1.0
0,-0.004739022415123674,0.02837480982936409,False,0,6.0
0,0.001857796781927143,0.016298399537535063,False,1,1.0
0,0.001333647207194439,0.012704029898485493,False,1,1.0
0,0.0014491600765816522,0.012874354797233648,False,1,1.0
0,-0.0026703325133087125,0.005917594476891331,False,0,9.0
0,0.005520016588138318,0.033670835147605965,False,1,1.0
0,-0.0010656021320265968,0.023015245619285717,False,0,6.0
0,0.0003290128456783781,0.018665945415515896,False,1,1.0
0,0.0038795344584156843,0.009729413218434482,False,1,1.0
0,0.000565266373098422,0.016300453776601928,False,1,1.0
0,0.006675959968402201,0.062016836169327266,False,1,1.0
0,-0.00047325824815220435,0.004270744449091897,False,1,1.0
0,0.0016404208039667405,0.007278938052967823,False,1,1.0
0,0.004095761302104192,0.04250906210027945,False,1,1.0
0,-0.008059947189230712,0.0449882806905607,False,0,9.0
0,0.0016371260658142317,0.009424984306027673,False,1,1.0
0,0.0022002922411097463,0.009082078356132553,False,1,1.0
0,-0.0038493694504638867,0.008301172127407557,True,0,2.0
0,0.0015266418048468667,0.012226574099462912,False,1,1.0
0,0.0014987222243801022,0.02267729213039457,False,1,1.0
0,0.002633361382570823,0.022605470235544756,False,1,1.0
0,0.0025325904834171548,0.008179986935569901,False,1,1.0
0,0.0025053679289646358,0.01296925722589444,False,1,1.0
0,-0.001851902001924411,0.013901857393207588,False,0,9.0
0,-0.0036112770567327986,0.0256621711531042,False,0,9.0
0,-0.0002240006256509497,0.014062531689770091,False,1,1.0
0,-0.0036324980780853035,0.014934140158520317,False,0,8.0
